crimeDate,crimeTime,crimeCode,location,description,weapon,post,district,neighborhood,Location 1,Total Incidents
08/01/2009,1605,1F,2100 EDMONDSON AV,HOMICIDE,FIREARM,723,WESTERN,Midtown-Edmondson,"(39.2949800000, -76.6510600000)",1
07/31/2009,0035,1F,500 EAST LYNNE AV,HOMICIDE,FIREARM,835,SOUTHWESTERN,Millhill,"(39.2800700000, -76.6586800000)",1
07/26/2009,2215,1F,200 N CONKLING ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.2953600000, -76.5677700000)",1
07/26/2009,2215,1F,200 N CONKLING ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Baltimore Highlands,"(39.2953600000, -76.5677700000)",1
07/25/2009,0201,1F,5100 FOSTER AV,HOMICIDE,FIREARM,233,SOUTHEASTERN,Greektown,"(39.2851700000, -76.5527900000)",1
07/25/2009,0210,1F,4200 ERDMAN AV,HOMICIDE,FIREARM,431,NORTHEASTERN,Orangeville Industrial Area,"(39.3123900000, -76.5668000000)",1
07/23/2009,0220,1F,3600 WOODLAND AV,HOMICIDE,FIREARM,613,NORTHWESTERN,Lucille Park,"(39.3408200000, -76.6740200000)",1
07/19/2009,2130,1F,2800 E MADISON ST,HOMICIDE,FIREARM,334,EASTERN,Madison-Eastend,"(39.3001100000, -76.5777000000)",1
07/16/2009,0856,1F,3400 LAKE MONTEBELLO DR,HOMICIDE,FIREARM,414,NORTHEASTERN,Montebello,"(39.3299500000, -76.5836400000)",1
07/15/2009,0251,1F,500 S REGESTER ST,HOMICIDE,FIREARM,215,SOUTHEASTERN,Fells Point,"(39.2854600000, -76.5924900000)",1
07/13/2009,0425,1F,6200 FALKIRK RD,HOMICIDE,FIREARM,423,NORTHEASTERN,Idlewood,"(39.3695100000, -76.5892600000)",1
07/13/2009,1516,1F,2900 THE ALAMEDA,HOMICIDE,FIREARM,412,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3246900000, -76.5936900000)",1
07/13/2009,1912,1F,4000 OLD YORK RD,HOMICIDE,FIREARM,525,NORTHERN,Pen Lucy,"(39.3381200000, -76.6076100000)",1
07/09/2009,0032,1F,2900 MC ELDERRY ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Ellwood Park/Monument,"(39.2979900000, -76.5764700000)",1
07/08/2009,0000,1F,3900 FAIRFAX RD,HOMICIDE,FIREARM,622,NORTHWESTERN,Concerned Citizens Of Forest Park,"(39.3219400000, -76.6833000000)",1
07/08/2009,2250,1F,1700 DIVISION ST,HOMICIDE,FIREARM,132,CENTRAL,Upton,"(39.3043600000, -76.6336100000)",1
07/03/2009,1925,1F,2100 W FAIRMOUNT AV,HOMICIDE,FIREARM,721,WESTERN,Penrose/Fayette Street Outreach,"(39.2887400000, -76.6505200000)",1
06/30/2009,0020,1F,1600 E EAGER ST,HOMICIDE,FIREARM,322,EASTERN,Gay Street,"(39.3018300000, -76.5961900000)",1
06/30/2009,2340,1K,600 WHEELER AV,HOMICIDE,KNIFE,723,WESTERN,Rosemont Homeowners/Tenants,"(39.2948400000, -76.6548300000)",1
06/29/2009,0955,1F,2100 BRIGHTON ST,HOMICIDE,FIREARM,724,WESTERN,Easterwood,"(39.3058100000, -76.6515900000)",1
06/29/2009,2340,1F,3400 FAIRVIEW AV,HOMICIDE,FIREARM,621,NORTHWESTERN,Forest Park,"(39.3218600000, -76.6747700000)",1
06/27/2009,0358,1K,3000 BAKER ST,HOMICIDE,KNIFE,814,SOUTHWESTERN,Rosemont,"(39.3059000000, -76.6679100000)",1
06/27/2009,0358,1K,3000 BAKER ST,HOMICIDE,KNIFE,814,SOUTHWESTERN,Rosemont,"(39.3059000000, -76.6679100000)",1
06/24/2009,1810,1O,1800 ST PAUL ST,HOMICIDE,OTHER,141,CENTRAL,Charles North,"(39.3105800000, -76.6149400000)",1
06/24/2009,2320,1F,300 MASON CT,HOMICIDE,FIREARM,212,SOUTHEASTERN,Perkins Homes,"(39.2872700000, -76.5958000000)",1
06/23/2009,0427,1O,2200 TUCKER LA,HOMICIDE,OTHER,821,SOUTHWESTERN,Wakefield,"(39.3122200000, -76.7012000000)",1
06/21/2009,2324,1F,1800 N CHAPEL ST,HOMICIDE,FIREARM,321,EASTERN,Broadway East,"(39.3111900000, -76.5910500000)",1
06/20/2009,0140,1F,2300 E OLIVER ST,HOMICIDE,FIREARM,332,EASTERN,Broadway East,"(39.3078800000, -76.5852400000)",1
06/19/2009,0004,1F,2700 E FAYETTE ST,HOMICIDE,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2945200000, -76.5787400000)",1
06/18/2009,2145,1K,600 TUNBRIDGE RD,HOMICIDE,KNIFE,523,NORTHERN,Mid-Govans,"(39.3565000000, -76.6080500000)",1
06/16/2009,2335,1F,1900 BRADDISH AV,HOMICIDE,FIREARM,811,SOUTHWESTERN,Walbrook,"(39.3098700000, -76.6612600000)",1
06/10/2009,1754,1K,4000 BIDDISON LA,HOMICIDE,KNIFE,427,NORTHEASTERN,Waltherson,"(39.3383000000, -76.5545700000)",1
06/10/2009,1754,1K,4000 BIDDISON LA,HOMICIDE,KNIFE,427,NORTHEASTERN,Waltherson,"(39.3383000000, -76.5545700000)",1
06/10/2009,1924,1F,1700 N PAYSON ST,HOMICIDE,FIREARM,732,WESTERN,Easterwood,"(39.3079300000, -76.6498200000)",1
06/08/2009,1744,1F,2500 E FEDERAL ST,HOMICIDE,FIREARM,333,EASTERN,Berea,"(39.3090000000, -76.5825300000)",1
06/07/2009,1011,1K,900 BROOKS LA,HOMICIDE,KNIFE,134,CENTRAL,Reservoir Hill,"(39.3158200000, -76.6369300000)",1
06/03/2009,1430,1F,1400 ANGLESEA ST,HOMICIDE,FIREARM,234,SOUTHEASTERN,Medford,"(39.2775200000, -76.5456100000)",1
06/02/2009,0230,1F,100 RIVERSIDE RD,HOMICIDE,FIREARM,912,SOUTHERN,Brooklyn,"(39.2369500000, -76.6166900000)",1
05/31/2009,0334,1F,4300 YORK RD,HOMICIDE,FIREARM,526,NORTHERN,Wilson Park,"(39.3418900000, -76.6095500000)",1
05/30/2009,1225,1F,600 N PORT ST,HOMICIDE,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2980900000, -76.5829900000)",1
05/30/2009,0120,1F,2700 AILSA AV,HOMICIDE,FIREARM,426,NORTHEASTERN,Lauraville,"(39.3492900000, -76.5704100000)",1
05/28/2009,0242,1F,0 S EUTAW ST,HOMICIDE,FIREARM,113,CENTRAL,Downtown,"(39.2879600000, -76.6208700000)",1
05/27/2009,1035,1F,200 N COLLINGTON AV,HOMICIDE,FIREARM,325,EASTERN,CARE,"(39.2946400000, -76.5864400000)",1
05/27/2009,2328,1F,1100 W NORTH AV,HOMICIDE,FIREARM,135,CENTRAL,Druid Heights,"(39.3103100000, -76.6358900000)",1
05/25/2009,0310,1F,1800 E 28TH ST,HOMICIDE,FIREARM,412,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3238400000, -76.5901700000)",1
05/25/2009,0630,1F,3300 NOBLE ST,HOMICIDE,FIREARM,223,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2930400000, -76.5704400000)",1
05/25/2009,2150,1F,3100 CLIFTMONT AV,HOMICIDE,FIREARM,415,NORTHEASTERN,Belair-Edison,"(39.3194200000, -76.5752800000)",1
05/24/2009,1240,1F,2100 ST LO DR,HOMICIDE,FIREARM,412,NORTHEASTERN,Clifton Park,"(39.3180000000, -76.5878700000)",1
05/23/2009,1513,1F,300 N CARROLLTON AV,HOMICIDE,FIREARM,712,WESTERN,Poppleton,"(39.2925600000, -76.6369600000)",1
05/21/2009,1045,1F,,HOMICIDE,FIREARM,,,,,1
05/21/2009,1645,1F,2700 ST LO DR,HOMICIDE,FIREARM,412,NORTHEASTERN,Clifton Park,"(39.3155400000, -76.5903900000)",1
05/17/2009,1913,1O,7000 REISTERSTOWN RD,HOMICIDE,OTHER,632,NORTHWESTERN,Fallstaff,"(39.3624300000, -76.7107100000)",1
05/09/2009,0215,1F,2000 KENNEDY AV,HOMICIDE,FIREARM,311,EASTERN,East Baltimore Midway,"(39.3141100000, -76.6034600000)",1
05/08/2009,0636,1F,3000 ELGIN AV,HOMICIDE,FIREARM,812,SOUTHWESTERN,Walbrook,"(39.3133500000, -76.6684100000)",1
05/08/2009,1422,1F,3100 MONTEBELLO TER,HOMICIDE,FIREARM,422,NORTHEASTERN,Beverly Hills,"(39.3385500000, -76.5704200000)",1
05/05/2009,0023,1F,600 PARKWYRTH AV,HOMICIDE,FIREARM,525,NORTHERN,Waverly,"(39.3348300000, -76.6072200000)",1
05/03/2009,0513,1F,3300 FREDERICK AV,HOMICIDE,FIREARM,824,SOUTHWESTERN,Irvington,"(39.2809700000, -76.6727400000)",1
05/02/2009,1831,1F,800 N MILTON AV,HOMICIDE,FIREARM,325,EASTERN,Milton-Montford,"(39.3007300000, -76.5823800000)",1
04/27/2009,0705,1F,2200 CHRISTIAN ST,HOMICIDE,FIREARM,835,SOUTHWESTERN,Carrollton Ridge,"(39.2812300000, -76.6513200000)",1
